amfi_code,scheme_name,fund_house,category,return_3yr_pct,alpha,beta,sharpe_ratio,sortino_ratio,max_drawdown_pct,expense_ratio_pct,morningstar_rating
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,12.36,0.87,0.89,0.88,1.29,-21.7,1.54,4
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,11.3,1.78,0.87,0.81,1.29,-24.43,0.66,3
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,23.39,1.23,0.89,0.94,1.35,-13.35,1.43,5
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,23.14,1.13,1.04,0.93,1.67,-24.78,0.72,4
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,6.07,1.6,0.22,1.52,2.11,-2.3,0.77,5
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,14.84,0.78,0.97,1.06,1.7,-17.41,1.55,5
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,13.38,1.13,0.97,0.96,1.45,-33.5,0.92,4
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,16.58,0.95,0.91,0.87,1.44,-13.67,1.38,5
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,15.29,0.9,1.04,0.8,1.38,-32.22,0.78,4
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,7.37,1.98,0.44,1.84,2.79,-6.01,0.56,3
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,11.54,0.66,0.96,0.82,1.12,-25.91,1.42,4
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,14.41,0.88,1.03,1.03,1.27,-26.59,0.8,3
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,18.08,0.89,1.0,0.95,1.45,-21.84,1.36,3
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,14.76,0.55,0.92,0.98,1.5,-21.89,1.41,4
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,7.68,1.85,0.26,7.68,10.37,-2.62,0.74,5
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,14.0,0.86,0.88,1.0,1.68,-16.07,1.51,4
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,12.33,1.7,1.02,0.88,1.48,-18.14,0.72,3
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,20.15,0.8,1.03,0.81,1.14,-30.87,1.53,4
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,11.77,1.8,1.04,0.91,1.24,-26.75,0.89,5
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,5.31,0.89,0.37,1.33,2.38,-2.23,0.55,4
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,12.25,1.27,0.93,0.87,1.34,-17.86,1.59,3
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,18.23,1.91,1.0,0.96,1.27,-21.92,1.56,4
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,15.65,1.85,0.95,0.98,1.57,-19.5,1.45,5
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,6.18,1.52,0.47,6.18,9.7,-3.81,0.6,3
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,11.84,1.41,0.91,0.85,1.25,-27.54,1.64,4
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,12.14,1.43,0.87,0.87,1.54,-17.4,0.75,4
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,15.18,1.42,1.0,0.8,1.18,-32.38,1.38,5
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,20.98,0.51,1.0,0.84,1.4,-14.45,1.38,4
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,13.78,1.34,1.03,0.98,1.25,-15.07,1.6,5
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,22.38,1.84,0.97,0.9,1.47,-23.61,1.53,5
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,5.14,1.18,0.43,5.14,8.76,-3.66,0.79,5
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,12.1,0.93,0.9,0.93,1.29,-24.42,1.57,4
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,15.61,1.12,0.92,0.82,1.21,-13.43,1.51,5
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,15.34,1.79,1.0,0.96,1.37,-12.14,1.64,5
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,14.81,1.62,0.96,1.06,1.66,-17.07,1.46,5
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,14.56,1.7,0.99,0.91,1.55,-33.15,1.52,5
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,13.58,0.54,0.98,0.8,1.03,-22.62,1.6,5
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,12.82,1.82,0.91,0.92,1.63,-21.7,1.54,5
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,17.16,1.02,0.98,0.9,1.5,-26.99,1.61,4
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,20.08,0.69,0.98,0.8,1.23,-17.01,1.52,4
